gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8690097225961,,Avicenna Pregofem 60 Yumuşak Kapsül,,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,92,2,t,avicenna-pregofem-60-yumusak-kapsul
8683675618033,,LeeRoy Chudo-X Glukosamin Chondroitin MSM 200 Tablet,,Besin Takviyeleri > Eklem Sağlığı Ürünleri,92,1,t,leeroy-chudo-x-glukosamin-chondroitin-msm-200-tablet
8699910802365,,Resverol Resveratrol Ve Quercetin İçeren Sıvı Takviye Edici Gıda 150 ml,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bağışıklık Sistemi Güçlendirici Şuruplar,92,1,t,resverol-resveratrol-ve-quercetin-iceren-sivi-takviye-edici-gida-150-ml
8699313000603,,Proling Delay Krem 56 ml,Viaxi,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri,90,2,t,proling-delay-krem-56-ml
8683229603720,,Joy Drops Kayganlaştırıcı Jel Çilek Aromalı 125 ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Masaj Yağları,90,2,t,joy-drops-kayganlastirici-jel-cilek-aromali-125-ml
8680133003318,,Magnimore Magnezyum Bisglisinat 120 mg 60 Kapsül,,Besin Takviyeleri > Minareller > Magnezyum Mineralleri > Magnezyum Bisglisinat,89,3,t,magnimore-magnezyum-bisglisinat-120-mg-60-kapsul
3264680039027,,Promosyon - Nuxe Makyaj Çanta ve Merveliance Lift Firming Cream 15ml,,Promosyonlar - Hediye Ürünler,89,1,t,promosyon-nuxe-makyaj-canta-ve-merveliance-lift-firming-cream-15ml
2165465465366,,Sambucol Plus Kids Yummies 60 Çiğnenebilir Jelibon 2'li Set,Sambucol,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Karamürver,87,1,t,sambucol-plus-kids-yummies-60-cignenebilir-jelibon-2li-set
8684674069116,,Voonka Collagen Beauty Plus - Yeşil Elma Aromalı - 300gr,Voonka,Besin Takviyeleri > Kolajen,86,2,t,voonka-collagen-beauty-plus-yesil-elma-aromali-300gr
8684408000033,,Elipse Kulak Tıkacı 2li Silikon,,Sağlık Ve Medikal > Medikal > Kulak Tıkacı,85,2,t,elipse-kulak-tikaci-2li-silikon
