gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8681285105677,,"B-Good Sargı Bezi 10 cm x 1,5m",B-Good,Sağlık Ve Medikal > Ortopedi Ürünleri > Sargı ve Sargı Bezi,504,2,t,b-good-sargi-bezi-10-cm-x-15m
8699546000067,,Baygon Sinek Öldürücü 300 ml,Baygon,Ev & Yaşam,504,2,t,baygon-sinek-oldurucu-300-ml
8683249000257,,Betafix 10m x 10cm (5110),Betafix,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Kinesioloji Bantları,504,2,t,betafix-10m-x-10cm-5110
8683249000295,,Betafix 5m x 10cm (5510),Betafix,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Kinesioloji Bantları,504,2,t,betafix-5m-x-10cm-5510
8683249000219,,Betafix 5m x 2.5cm (5502),Betafix,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Kinesioloji Bantları,504,2,t,betafix-5m-x-25cm-5502
8683249000226,,Betafix 5m x 5cm (5505),Betafix,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Kinesioloji Bantları,504,2,t,betafix-5m-x-5cm-5505
8681158205473,,Chondurax Jel 75 ml,Chondurax,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Kas Ve Eklem Sağlığı,504,2,t,chondurax-jel-krem-75-ml
8699080225209,,DS Plus Hidrofil Gazlı Bez 30cm x 80cm,DS Plus,Sağlık Ve Medikal > Gaz Kompres,504,2,t,ds-plus-hidrofil-gazli-bez-30cm-x-80cm
8699080225469,,DS Plus Sargı Bezi 10x150 cm,DS Plus,Sağlık Ve Medikal > Ortopedi Ürünleri > Sargı ve Sargı Bezi,504,2,t,ds-plus-sargi-bezi-10x150-cm
8693086100072,,Elite Kulak Tıkayıcı Çam Tipi,Elite,Kişisel Bakım > Kulak & Burun Tıkacları,504,2,t,elite-kulak-tikayici-cam-tipi
8693086100034,,Elite İpli Silikon Kulak Tıkayıcı,Elite,Kişisel Bakım > Kulak & Burun Tıkacları,504,2,t,elite-ipli-silikon-kulak-tikayici
8699080222543,,Exxe Gazlı Bez 30 cm x 80 cm (2 Parça 30x40),Exxe,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Medikal Sarf Ürünleri,504,2,t,exxe-gazli-bez-30-cm-x-80-cm-2-parca-30x40
8699514570332,,Grintuss Pediatrik Öksürük Şurubu 128 gr,Grintuss,Besin Takviyeleri > Takviye Edici Gıdalar > Boğaz şurupları,504,2,t,grintuss-pediatrik-oksuruk-surubu-kids-128-gr
8699514570325,,Grintuss Yetişkin Öksürük Şurubu 128 gr,Grintuss,Besin Takviyeleri > Takviye Edici Gıdalar > Bitkisel Ürünler,504,2,t,grintuss-yetiskin-oksuruk-surubu-128-gr
8693283010020,,Kuteks Sargı Bezi 7 cm,Kuteks,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Pansuman Örtüleri,504,2,t,kuteks-sargi-bezi-7-cm
8699844191955,,Ocunet 30 Tablet,Ocunet,Besin Takviyeleri > Mineral > Bakır,504,2,t,ocunet-30-tablet
8684623000535,,OFF Sinekkovar Pro Care Vücut Sprey 100 ml,Off,Ev & Yaşam > Cilt Sinek Kovucu,504,2,t,off-sinekkovar-pro-care-vucut-sprey-100-ml
8690784311663,,Raid Sinek Savar Kokusuz 300 ml,Raid,Ev & Yaşam > Sinek Kovucu,504,2,t,raid-sinek-savar-kokusuz-300-ml
8699592806026,,"Roll Elast Bandaj Ten Rengi 10 cm x 3,5m",Roll,Sağlık Ve Medikal > Ortopedi Ürünleri > Bandaj,504,2,t,roll-elast-bandaj-ten-rengi-10-cm-x-35m
8699592806002,,"Roll Elast Bandaj Ten Rengi 6cm x 3,5m",Roll,Sağlık Ve Medikal,504,2,t,roll-elast-bandaj-ten-rengi-6cm-x-35m
8699592806637,,"Roll Flex Sargı Bezi 10 cm x 1,5 m",Roll,Sağlık Ve Medikal,504,2,t,roll-flex-sargi-bezi-10-cm-x-15-m
8699592820015,,Roll Yakı,Roll,Kişisel Bakım,504,2,t,roll-yaki
33984003132,,Solgar Biotin 5000 mcg 50 Kapsül,Solgar,Besin Takviyeleri > Takviye Edici Gıdalar > Saç ve Tırnak Sağlığı,504,2,t,solgar-biotin-5000-mcg-50-kapsul
33984005204,,Solgar Calcium Magnesium Plus Zinc 100 Tablet,Solgar,Besin Takviyeleri > Mineral > Kalsiyum,504,2,t,solgar-calcium-magnesium-plus-zinc-100-tablet
33984781337,,Solgar Gentle Iron 17 mg 90 Kapsül,Solgar,Besin Takviyeleri > Mineral > Demir,504,2,t,solgar-gentle-iron-17-mg-90-kapsul
33984017108,,Solgar Magnesium Citrate 200 mg 60 Tablet,Solgar,Besin Takviyeleri > Mineral > Magnezyum,504,2,t,solgar-magnesium-citrate-200-mg-60-tablet
33984015555,,Solgar Magnesium Glycinate 60 Kapsül,Solgar,Besin Takviyeleri > Mineral > Magnezyum,504,2,t,solgar-magnesium-glycinate-60-kapsul
33984020580,,Solgar Omega-3 950 mg 100 Kapsül,Solgar,Besin Takviyeleri > Takviye Edici Gıdalar > Omega 3 & Balık Yağı,504,2,t,solgar-omega-3-950-mg-100-yumusak-jelatinli-kapsul
8690570552690,,Strepsils Herbal Zencefil Aromalı 16 Pastil,Strepsils,Besin Takviyeleri > Takviye Edici Gıdalar > Pastil,504,2,t,strepsils-herbal-zencefil-16-pastil
8699546020577,,Supradyn Koenzim Q10 15 Efervesan Tablet,Supradyn,Besin Takviyeleri > Mineral > Bakır,504,2,t,supradyn-daily-efervesan-15-tablet
8690797107215,,Süper Süzen 92 Slim 27 Adet,SÜZEN 92,Ev & Yaşam > Sigara Aksesuarları > Sigara Ağızlığı,504,2,t,super-suzen-92-slim-27-adet
8690797117634,,Süzen 92 Slender Sigara Ağızlığı 144lü Mavi,SÜZEN 92,Ev & Yaşam > Sigara Aksesuarları > Sigara Ağızlığı,504,2,t,super-suzen-92-slender-filtreli-agizli-144-adet
8681863200107,,Bestiron Plus 100 ml,Valens İlaç,Besin Takviyeleri > Mineral > Demir,504,2,t,bestiron-plus-100-ml
8683229900324,,Venatura Omega-3 1600 mg 30 Kapsül,VeNatura,Besin Takviyeleri > Takviye Edici Gıdalar > Omega 3 & Balık Yağı,504,2,t,venatura-omega-3-1600-balik-yagi-30-yumusak-kapsul
8690797103217,,Wee baby Bebek Temizleme Pamuğu 60’lı,Wee Baby,Anne Bebek > Bebek Bakım > Bebek Temizleme Pamuğu,504,2,t,wee-baby-bebek-temizleme-pamugu-60li
